26,Pumpkins,Whether you use them for carving or cooking pumpkins do not disappoint. Note that pumpkins do require a lot of food and a long growing season (generally from 75 to 100 frost-free days) so you need to plant them by late May in northern locations to early July in extremely southern states. Do not plant this tender vegetable until all danger of frost has passed and the soil is warmed as the seedlings will be injured or rot. (See the Almanac.com/Gardening page for frost dates.) That said pumpkins are easy to maintain if you have the space.,4,1,45,48-96,48-96,Your best bet is to harvest pumpkins when they are mature. They will keep best this way. Do not pick pumpkins off the vine because they have reached your desired size. If you want small pumpkins buy a small variety. A pumpkin is ripening when its skin turns a deep solid color (orange for most varieties). When you thumb the pumpkin the rind will feel hard and it will sound hollow. Press your nail into the pumpkinâ€™s skin; if it resists puncture it is ripe. To harvest the pumpkin cut the fruit off the vine carefully with a sharp knife or pruners; do not tear. Be sure not to cut too close to the pumpkin; a liberal amount of stem (3 to 4 inches) will increase the pumpkinâ€™s keeping time.
27,Radish,Radishes are a hardy cool-season vegetable that can produce many crops each season due to its rapid days to maturity. Radishes can be planted in both the spring and the fall but growing should be suspended in the warmer months. They are a very easy vegetable to grow.,1,1,60,2,2,Radishes will be ready to harvest quite rapidly as three weeks after planting for some varieties. Pull at the base of the stem when harvesting.
28,Rhubarb,Rhubarb is a perennial vegetable though it is generally used as a fruit in desserts and jams. You only eat the stalks which have a rich tart flavor. The leaves of this plant are poisonous so be sure that they are not ingested. Rhubarb is easy to grow but needs cool weather to thrive.,3,4,70,48,48,Do not harvest any stalks during the first growing season so that your plants can become established. Harvest the stalks when they are 12 to 18 inches long. Usually after 3 years the harvest period runs 8 to 10 weeks long. If the stalks become thin stop harvesting; this means the plant's food reserves are low. Grab the base of the stalk and pull it away from the plant with a gentle twist. If this doesn't work you can cut the stalk at the base. Be sure the discard of the leaves! Always leave at least 2 stalks per plant to ensure continued production. You may have a bountiful harvest for up to 20 years without having to replace your rhubarb plants.
29,Spinach,This super-cold-hardy vegetable is a tender crop that can be planted in very early spring as well as fall and winter. Spinach has similar growing conditions and requirements as lettuce but it is more versatile in both its nutrition and its ability to be eaten raw or cooked. It is higher in iron calcium and vitamins than most cultivated greens and one of the best sources of vitamins A B and C.,2,1,45,3-4,3-4,Keep an eye on your plants. Harvest when leaves reach desired size. Harvest by pinching outer leaves at their base. Donâ€™t wait too long to harvest or wait for larger leaves; bitterness will set in quickly after maturity.
30,Summer Squash,Squash is a seasonal vegetable. It is very susceptible to frost and heat damage but with proper care it will produce a bumper crop with very few plants. There are many varieties of summer squash to choose from including zucchini. The main difference between winter and summer varieties is their harvest time; the longer growing period gives winter squash a tougher inedible skin,1,1,90,48-72,48-72,Harvest summer squash when small and tender for best flavor. Most varieties average 60 days to maturity and are ready as soon as a week after flowering. Check plants everyday for new produce. Cut the squash off the vine rather than breaking them off.
32,Turnips,Turnips are biennials usually grown as annuals. Although turnips are more of a staple in European kitchens many southern gardeners like to grow them for their greens. Turnips take up to two months to mature. Turnips grow best in a temperate climate but can endure light frost. Fall crops are usually sweeter and more tender than spring cropsâ€”and pests are less of a problem.,3,1,30,6,6,Harvest some turnips very early as greens. Harvest early types after about 5 weeks; maincrop types after 6 to 10 weeks. Harvest turnips at any size you wish. The small young turnips are nice and tender. Pull mature turnips before they become woody and before the first frost.
33,Watermelon,Everyone seems to love juicy watermelon in the summertime. Native to Africa melons need warm temperatures (up to 80 degrees during the day) and a long growing season. Gardeners in colder climates can still have success in growing watermelon by starting seeds indoors and choosing short-season varieties. Days to maturity range from 70 to 90 depending on the variety.,2,1,120,72,72,Watermelons donâ€™t sweeten after they are picked so harvest time is important. They generally ripen over two weeks so keep you eye on them. Check the tendril. If it's green wait. If itâ€™s half-dead the watermelon is nearly ripe or ripe. If the tendril is fully dead it's ripe or overripe; itâ€™s not going to get any riper so you might as well pick! Stems should be cut with a sharp knife close to the fruit.
34,Winter Squash,Squash is a seasonal vegetable. It is very susceptible to frost and heat damage but with proper care it will produce a bumper crop with very few plants. There are many varieties of summer squash to choose from including zucchini. The main difference between winter and summer varieties is their harvest time; the longer growing period gives winter squash a tougher inedible skin,4,1,45,48-72,48-72,Harvest winter squash when rind is hard and deep in color usually late September through October.
35,Thyme,Thyme is a small perennial shrub with lots of branches and light purple to pink flowers. It's aromatic and has a pleasant pungent clover flavor. There are over fifty varieties used in cooking and gardening. English thyme is used most often in cooking.,3,1,60,6,6,Throughout the summer leaves and sprigs can be harvested at any time.
36,Oregano,Oregano is a perennial with rose-purple or white flowers and a taste reminiscent of thyme. Its taste is zesty and strong and is commonly used in Italian dishes. Oregano is a hardy plant and makes a good ground cover.,1,1,70,8-12,8-12,Harvest the leaves as you need them. The most flavor-filled leaves are found right before the flowers bloom. Harvest using scissors and give the herb a â€œhaircutâ€.
37,Rosemary,Rosemary is a perennial evergreen shrub with blue flowers. It is a pungent and distinctive plant with a sweet resinous flavor. Rosemary is ideal for a rock garden or the top of a dry wall. It is used for poultry lamb stews and soups.,2,3,45,48,48,Prune the stems to use fresh. During the winter bring a rosemary plant indoors. Harvest using scissors and give the herb a â€œhaircutâ€.
41,Sage,Sage is a hardy perennial with soft grayish green leaves. Its flower colors vary; they can be purple pink blue or white. Common sage is used most commonly for cooking; it's a classic in stuffing.,4,1,90,24-30,24-30,During the first year harvest lightly to ensure that the plant grows fully. After the first year. be sure to leave a few stalks so that the plant can rejuvenate. If fully established one plant can be harvested up to three times in one season.
43,Okra,Okra is traditionally a southern U.S. plant that thrives in warm weather. It is easy to grow and use and looks great throughout the growing season due to its beautiful flowers. Okra is also rich in vitamin A and low in calories.,1,1,30,10-18,10-18,The first harvest will be ready about 2 months after planting. Harvest the okra when its about 2 to 3 inches long. Harvest it every other day. Cut the stem just above the cap with a knife; if the stem is too hard to cut the pod is probably too old and should be tossed. Wear gloves and long sleeves when cutting the okra because most varieties are covered with tiny spines that will irritate your skin unless you have a spineless variety. Do not worry: this irritation will not happen when you eat them.
44,Sweet Potato,The sweet potato is a warm-season spreading vegetable of tropical origin. It is a good choice for a garden because it is easy to grow is drought- / heat-tolerant and has few pests or diseases. The sweet potato is also very nutritious and low in calories.,3,1,120,12-18,12-18,You can start digging up the potatoes as soon as they are big enough for a meal. Often this is three to four months from when you planted the slips. The leaves should have started to yellow but you can leave them in the ground up until the fall frost. Since the roots spread 4 to 6 inches deep in the soil a spade fork is useful when digging up the potatoes.
45,Dill,Dill is an annual self-seeding plant with feathery green leaves. It is used most commonly in soups stews and for pickling. Dill is easy to grow and attracts beneficial insects to your garden such as wasps and other predatory insects.,2,1,45,12-18,12-18,As soon as the plant has four to five leaves you can start harvesting. Pinch off the leaves or cut them off with scissors. If you have a lot of plants you can pinch off entire stalks.
3,Lettuce,This is a half-hardy vegetable that you can keep growing all season long by planting one small crop at a time. Days to maturity tend to be short. Garden lettuce is far superior in both taste and vitamin A content to supermarket brands.,1,1,60,8-16,8-16,Lettuce should be harvested when full size but just before maturity. You want it young and tender. Before maturity you can harvest leaf lettuce by simply removing outer leaves so that the center leaves can continue to grow. Butterhead or romaine types can be harvested by removing the outer leaves digging up the whole plant or cutting the plant about an inch above the soil surface. A second harvest is often possible this way. Crisphead lettuce is picked when the center is firm. Itâ€™s best to harvest in the morning before leaves have been exposed to sun.
2,Basil,Basil is a leafy fragrant annual with a bushy appearance. The most common type of basil is sweet basil; other types include purple basil (less sweet than common basil) Lemon basil (lemon flavor) and Thai basil (licorice flavor). Basil is easy to grow and works well in Italian dishes but it only grows in the summer so plan accordingly.,2,2,70,12-24,12-24,After the seedlings have their first six leaves prune to above the second set. Pinch or cut at the base lateral stems to harvest. The best time to harvest is right when the plant starts to bud (before the flowers bloom).
40,Mint,Mint is a perennial with very fragrant toothed leaves and tiny purple pink or white flowers. It has a fruity aromatic taste. There are many varieties of mintâ€”all fragrant whether shiny or fuzzy smooth or crinkled bright green or variegated. However you can always tell a member of the mint family by its square stem. Rolling it between your fingers youâ€™ll notice a pungent scent and think of candy sweet teas or maybe even mint juleps.,4,1,45,n/a,n/a,Right before flowering cut the stems 1 inch from the ground. You can harvest one mint plant two or three times in one growing season. You can also just pick the leaves as you need them.
42,Tarragon,Tarragon is a perennial herb with long light green leaves and tiny greenish or yellowish white flowers. For cooking use French tarragon. Russian tarragon can easily be mistaken for French but Russian tarragon is coarser and less flavorful than French tarragon.,1,1,90,24-36,24-36,Harvest your plant regularly. Two or three plants will suffice if you regularly prune them. Tarragon is best used fresh in the summer.
7,Beets,Beets are a cool season vegetable crop. This root veggie grows quickly and has many different varieties which showcase deep red yellow or white bulbs of different shapes. They can survive frost and almost freezing temperatures which makes them a good choice for northern gardeners and an excellent long-season crop.,3,1,30,3-4,3-4,Days to maturity tend to be between 50 and 70 for most varieties although they can be harvested at any time you see fit. If you like larger bulbs wait longer but understand they will be tougher and woody. Donâ€™t let greens grow above 6 inches before harvesting. Donâ€™t forget about the tops! Beet greens have a delicious and distinctive flavor and hold more nutrition than the roots.
12,Celery,Celery is a long-season crop that can be tricky to grow some might say the trickiest of all. It likes fertile soil cool temperatures and constant moisture. It will not tolerate heat and can be hard to transplant. Summer crops in the north and winter crops in the south make celery a year-round producer. All the work is worth it when you harvest crunchy green stalks.,2,1,120,10-12,10-12,The parts of celery that are harvested are mainly the stalks which will be above ground. Harvest stalks from the outside in. You may begin harvesting when stalks are about 8 inches tall.
22,Parsnips,Parsnips popular with ancient Greeks and Romans were brought over to the Americas with the first colonists. Although parsnips are biennials they are usually grown as an annual vegetable. Parsnips are a hardy cool-season crop that is best harvested after a hard frost. Parsnips are not only tasty in soups and stews but can also be enjoyed by themselves.,1,2,45,4-6,4-6,Parsnips mature in about 16 weeks. Leave your parsnips in the ground for a few frosts but harvest before the ground freezes. If you leave them in the ground for the winter cover them with a thick layer of mulch and harvest immediately after the ground thaws in the spring.
23,Peas,Peas are a cool-season crop now coming in three separate varieties to suit your garden and cooking needs. They are: Pisum savitum which includes both garden peas (sweet pea inedible pod) and snow peas (edible flat pod with small peas inside) and Pisum macrocarpon snap peas (edible pod with full-size peas). They are easy to grow but with a very limited growing season. Furthermore they do not stay fresh long after harvest so enjoy them while you can!,2,2,60,3,3,Keep your peas well picked to encourage more pods to develop. Pick peas in the morning after the dew has dried. They are crispiest then. Always use two hands when you pick peas. Secure the vine with one hand and pull the peas off with your other hand.
31,Chard,Chard is a member of the beet family that does well in both cool and warm temperatures. It can be cooked or used raw in salads and is high in vitamins A and C.,4,2,70,6,6,You can start harvesting when the plants are 6 to 8 inches tall. Cut off the outer leaves 1-Â½ inches above the ground with a sharp knife. If you harvest the leaves carefully new leaves will grow and provide another harvest.
38,Cilantro,Coriander/cilantro is a fast-growing aromatic herb that grows in the cooler weather of spring and fall. This herb is used to flavor many recipes and the entire plant is edible. The leaves are called cilantro and the seeds are called coriander.,1,2,45,12,12,Harvest while it is low. When the cilantro grows its stalk cut off the plant after the seeds drop and let it self-seed. The large leaves can be cut individually from the plants. For the smaller leaves cut them off 1-Â½ to 2 inches above the crown. You can also remove the entire plant at once; however this means that you will not be able to continue harvesting for the rest of the growing season.
39,Parsley,Parsley is a biennial plant with bright green featherlike leaves and is in the same family as dill. This herb is used in soups sauces and salads and it lessens the need for salt in soups. Not only is it the perfect garnish but also it is healthy; itâ€™s rich in iron and vitamins A and C.,3,2,90,6-10,6-10,When the leaf stems have three segments parsley is ready to be harvested. Cut leaves from the outer portions of the plant whenever you need them. Leave the inner portions of the plant to mature.
5,Asparagus,Asparagus is a perennial bulb and stem vegetable that greets us every spring. It may take 2 to 3 years to get started and produce so patience is needed! But then the plant can be productive up to 20 years so we think it's worth the wait. Asparagus has male and female plants with the female plants producing berries. Regions with cool winters are best for this cool-season crop.,2,2,30,15-18,15-18,Asparagus can take three growing seasons to harvest; you may be able to lightly harvest during the second year. In the first year just let the asparagus go vegetative to give the crown a chance to get well established. Next spring remove the old fern growth from the previous year and keep an eye open for the new spears to begin emerging. For the following years maintain the bed and harvest only the spears thicker than a pencil. Harvest for 2 or 3 weeks. After you harvest leave the ferns so it can gather nourishment for next year's growth.
